ville,pays,latitude,longitude,date_entiere,heure,aqi,pm2_5,pm10,no2,so2,o3,co,no,nh3
Antananarivo,MG,-18.8792,47.5079,2025-07-02,18,25,1.37,2.07,0.31,0.13,53.18,76.06,0,0.26
London,GB,51.5074,-0.1278,2025-07-02,18,39,2.27,4.78,7.75,4.96,82.04,124.09,1.22,1.02
New York,US,40.7128,-74.006,2025-07-02,18,24,5.78,6.08,9.92,1.49,29.84,202.81,0.82,0.1
Paris,FR,48.8566,2.3522,2025-07-02,18,37,4.01,5.61,1.12,0.45,77.82,94.64,0.06,1.91
Tokyo,JP,35.6895,139.6917,2025-07-02,18,34,5.22,7.73,2.46,3.49,72.1,124.22,0,0.05
Antananarivo,MG,-18.8792,47.5079,2025-07-02,19,25,1.31,1.99,0.31,0.13,53.49,76.32,0,0.25
London,GB,51.5074,-0.1278,2025-07-02,19,38,1.8,4.1,7.87,4.49,79.74,124.52,0.64,1.07
New York,US,40.7128,-74.006,2025-07-02,19,26,6.27,6.49,9.36,1.32,47.14,185.7,0.19,0.06
Paris,FR,48.8566,2.3522,2025-07-02,19,36,2.83,3.73,1.29,0.44,75.29,96.88,0.03,1.87
Tokyo,JP,35.6895,139.6917,2025-07-02,19,34,5.18,7.58,2.55,3.89,71.03,124.22,0,0.09
Antananarivo,MG,-18.8792,47.5079,2025-07-02,20,25,1.26,1.9,0.31,0.12,53.37,77.21,0,0.23
London,GB,51.5074,-0.1278,2025-07-02,20,36,1.54,3.46,8.31,4.32,76.49,125.42,0.14,1.21
New York,US,40.7128,-74.006,2025-07-02,20,26,6.23,6.42,8.37,1.21,53.35,175.56,0.12,0.07
Paris,FR,48.8566,2.3522,2025-07-02,20,35,1.96,2.47,1.43,0.45,74.7,101.11,0,1.92
Tokyo,JP,35.6895,139.6917,2025-07-02,20,33,5.27,7.68,2.79,4.43,69.8,124.22,0,0.11
Antananarivo,MG,-18.8792,47.5079,2025-07-02,21,25,1.14,1.68,0.27,0.1,53.4,75.08,0,0.18
London,GB,51.5074,-0.1278,2025-07-02,21,34,1.36,2.92,8.54,4.32,72.84,126.78,0,1.41
New York,US,40.7128,-74.006,2025-07-02,21,26,6.11,6.29,8.38,1.19,55.39,172.32,0.08,0.11
Paris,FR,48.8566,2.3522,2025-07-02,21,36,1.61,1.95,1.48,0.47,75.63,106.18,0,2.01
